isoform,n
ONT1.10006.1315,1.89796095893864
ONT1.10006.1316,1.09623198413289
ONT1.10006.1318,2.89182331057891
ONT1.10006.1335,0.556540941248907
ONT1.10006.1344,15.0993737464561
ONT1.10006.1345,1.91038791618889
ONT1.10006.1346,104.12363560461
ONT1.10006.1350,1.50698715339228
ONT1.10006.1351,10.8059545487893
ONT1.10006.1354,11.5036384742316
ONT1.10006.1358,1.69204280837046
ONT1.10006.1359,5.23636441659285
ONT1.10006.1360,1.66425299687311
ONT1.10006.1365,6.62863858166846
ONT1.10006.1369,2.53652950612549
ONT1.10006.1484,347.514289829013
ONT1.10006.1486,25.2010240578686
ONT1.10006.1488,7.34055201631677
ONT1.10006.1490,2.82843750163549
ONT1.10006.1496,6.48195625151492
ONT1.10006.1498,20.3309593559744
ONT1.10006.1500,77.7062218784556
ONT1.10006.1510,4.44141992854766
ONT1.10006.1516,2.72232335509924
ONT1.10006.1521,16.7015195664973
ONT1.10006.1529,1.59790960244081
ONT1.10006.1537,3.42244673040824
ONT1.10006.1542,1.02371706607027
ONT1.10006.1547,0.915620231072865
ONT1.10006.1613,1.82752639600701
ONT1.10006.1629,2.51421515622349
ONT1.10006.1632,1.33767029965747
ONT1.10006.1701,14.9712873925305
ONT1.10006.1703,3.64614876158077
ONT1.10006.1732,22.2898177585765
ONT1.10006.248,1.80521291318837
ONT1.10006.251,5.26073118545913
ONT1.10006.288,1.3053626920557
ONT1.10006.326,1.6382424337364
ONT1.10006.327,36.0133064791502
ONT1.10006.333,10.9260062110208
ONT1.10006.342,3.88276884202344
ONT1.10006.343,7.06667637618649
ONT1.10006.403,6.8795367464548
ONT1.10006.404,1.33017653877104
ONT1.10006.417,17.0447411211266
ONT1.10006.419,15.2488233898487
ONT1.10006.420,2.0838375494097
ONT1.10006.422,6.75260712618722
ONT1.10006.424,1.77685668154298
ONT1.10006.427,1.11796185689001
ONT1.10006.432,4.37586163860732
ONT1.10006.900,0.556540941248907
ONT1.10011.1000,2.74904516985664
ONT1.10011.1003,3.96126294962922
ONT1.10011.1007,2.46932351315602
ONT1.10011.1012,1.92020592745074
ONT1.10011.1014,2.14832547469024
ONT1.10011.1018,3.88796815953792
ONT1.10011.1031,2.32782372741429
ONT1.10011.1074,1.80295999385213
ONT1.10011.1098,2.06653109669341
ONT1.10011.1103,2.06444120231509
ONT1.10011.2046,0.655723718980978
ONT1.10011.2049,3.45971532976271
ONT1.10011.2388,1.38874447276993
ONT1.10011.329,2.59596821355951
ONT1.10011.341,0.943469671883959
ONT1.10011.357,2.56681178416114
ONT1.10011.362,6.76198384386321
ONT1.10011.3705,516.791810373605
ONT1.10011.3706,26.1005022282663
ONT1.10011.3708,36.6687088367054
ONT1.10011.3710,8.90114174823851
ONT1.10011.3713,2.09628902726809
ONT1.10011.3721,4.82276665858582
ONT1.10011.3722,7.37983435281953
ONT1.10011.3725,5.39665176643967
ONT1.10011.3730,5.42456354077254
ONT1.10011.374,10.1142107874279
ONT1.10011.3795,77.8676130894202
ONT1.10011.3801,15.5261900382607
ONT1.10011.3807,2.54421520823859
ONT1.10011.3809,4.04882905949294
ONT1.10011.3833,57.8299256797164
ONT1.10011.3838,2.12918494286354
ONT1.10011.3849,4.58937258100036
ONT1.10011.3864,14.8778673728606
ONT1.10011.3871,12.4329723322531
ONT1.10011.3876,9.84585055475346
ONT1.10011.3884,5.49992400817907
ONT1.10011.740,3.874727510694
ONT1.10011.741,0.556540941248907
ONT1.10011.743,1.02371706607027
ONT1.10011.744,1.5635569725633
ONT1.10011.745,2.22488067373214
ONT1.10011.746,3.5028945579616
ONT1.10011.748,3.34279999111497
ONT1.10011.749,3.88873794382963
ONT1.10011.751,3.57504630975945
ONT1.10011.752,3.62452076896582
ONT1.10011.753,6.17932474689917
ONT1.10011.756,2.059057080271
ONT1.10011.758,4.62780747932236
ONT1.10011.759,2.36383671275692
ONT1.10011.760,2.23499877898357
ONT1.10011.762,1.51018421998501
ONT1.10011.764,2.30157725526373
ONT1.10011.765,3.17629200314987
ONT1.10011.766,3.11062671975366
ONT1.10011.905,2.05888920533268
ONT1.10011.907,2.8636111705378
ONT1.10011.954,4.36978698579092
ONT1.10011.960,2.211417110256
ONT1.10011.964,104.046559028512
ONT1.10011.967,117.110384544398
ONT1.10011.969,5.05471223217808
ONT1.10011.971,77.7976699125651
ONT1.10011.972,83.1479310069316
ONT1.10011.974,57.9699109744278
ONT1.10011.983,6.28026185432301
ONT1.10011.988,2.61328381187516
ONT1.10011.989,4.32423544408323
ONT1.10011.993,3.49975206679961
ONT1.10011.999,2.87738931309427
ONT1.10013.100,61.185858640592
ONT1.10013.110,85.2654793006552
ONT1.10013.114,30.9223407459368
ONT1.10013.121,33.3670784562101
ONT1.10013.144,42.7399097318134
ONT1.10013.146,89.932917760652
ONT1.10013.148,84.5033986270804
ONT1.10013.167,34.7492326183799
ONT1.10013.186,30.6152739240163
ONT1.10013.204,41.7370506637009
ONT1.10013.217,33.9451597040258
ONT1.10013.69,42.5100342317447
ONT1.10013.77,65.122664784154
ONT1.10013.80,223.386064022911
ONT1.10013.82,41.1379718186768
ONT1.10013.83,242.564194085092
ONT1.10013.85,117.980997033621
ONT1.10013.89,162.135752807812
ONT1.10013.92,60.7102350381749
ONT1.10013.98,50.0528408198052
ONT1.10038.102,4.74985549749888
ONT1.10038.108,10.9649839022929
ONT1.10038.122,4.52105388752286
ONT1.10038.138,11.7301919090364
ONT1.10038.167,7.31549834844765
ONT1.10038.225,3.26698248239222
ONT1.10038.230,5.09881631331391
ONT1.10038.59,68.6035477402569
ONT1.10038.61,143.343209576865
ONT1.10038.62,5.80412993947339
ONT1.10038.63,230.919293125557
ONT1.10038.65,54.9601445359008
ONT1.10038.67,49.2656475899726
ONT1.10038.68,32.7532818532546
ONT1.10038.70,15.4278549368847
ONT1.10038.74,18.3837045075381
ONT1.10038.79,5.80247835903864
ONT1.10038.86,55.9870732143658
ONT1.10038.90,8.58427348587427
ONT1.10038.92,2.41972054711731
ONT1.1056.15,4.93051601033915
ONT1.1056.16,1.09623198413289
ONT1.1056.25,1.55643824444614
ONT1.1056.27,1.32501734153784
ONT1.1056.4,1.44003917640982
ONT1.1058.1,37.782463504937
ONT1.1058.10,28.4442442103043
ONT1.1058.10353,50.5393500999312
ONT1.1058.10354,125.342577660994
ONT1.1058.10364,46.2922999056245
ONT1.1058.10488,43.5336902871738
ONT1.1058.10556,62.1659222079997
ONT1.1058.10691,415.750170696501
ONT1.1058.10757,19.9378320262995
ONT1.1058.10775,93.8400410935153
ONT1.1058.10801,7986.8693838685
ONT1.1058.10887,32.767590650356
ONT1.1058.10889,318.904389157888
ONT1.1058.10891,184.077470125069
ONT1.1058.10892,26.1836287050147
ONT1.1058.10897,98.6304251674258
ONT1.1058.10901,164.543916140483
ONT1.1058.10915,64.4098063327864
ONT1.1058.10943,18.0281173541105
ONT1.1058.11188,90.5379833817386
ONT1.1058.11206,44.2128239734129
ONT1.1058.11208,118.420665590367
ONT1.1058.12,17.8581968098888
ONT1.1058.135,1.24481217235184
ONT1.1058.137,133.91038603658
ONT1.1058.14,26.1233430473556
ONT1.1058.143,4.1423338726946
ONT1.1058.152,3.77745613619538
ONT1.1058.1599,173.038825238602
ONT1.1058.16,4.67330002232915
ONT1.1058.1601,54.9784760111458
ONT1.1058.1605,73.0398580087094
ONT1.1058.1607,76.692950562994
ONT1.1058.1613,73.1444394111873
ONT1.1058.1614,110.544608282481
ONT1.1058.1617,58.5541707028104
ONT1.1058.1621,216.212061133274
ONT1.1058.1623,41.3768143181583
ONT1.1058.1625,47.3836329184259
ONT1.1058.1626,75.694048262337
ONT1.1058.1644,55.4878369264685
ONT1.1058.1649,46.8629154560899
ONT1.1058.1660,44.208040189278
ONT1.1058.17,7.74896167849047
ONT1.1058.18,9.21580825868047
ONT1.1058.19,21.0644661703996
ONT1.1058.2,1218.13074565992
ONT1.1058.2288,92.0774109940942
ONT1.1058.2298,138.543110251757
ONT1.1058.2315,27.8512659548826
ONT1.1058.2335,45.8328824023118
ONT1.1058.2337,113.150146750273
ONT1.1058.4,6.26160350612654
ONT1.1058.42,5.82092304642296
ONT1.1058.440,172.52109742974
ONT1.1058.441,2.58198299463812
ONT1.1058.447,26.3560044296354
ONT1.1058.451,2.98136802479991
ONT1.1058.452,22.3055893989383
ONT1.1058.463,2.40198963686311
ONT1.1058.466,2.54377760611683
ONT1.1058.467,2.47836943095175
ONT1.1058.469,112.190078999925
ONT1.1058.4763,41.493204389048
ONT1.1058.480,5.14750481388452
ONT1.1058.497,4.9973451339012
ONT1.1058.513,2.7532274920972
ONT1.1058.515,3.75601867186341
ONT1.1058.527,4.87455575037873
ONT1.1058.536,4.23514852478648
ONT1.1058.542,9.24905515819076
ONT1.1058.56,2.62726288354798
ONT1.1058.6,30.510329383174
ONT1.1058.6800,33.9609958636602
ONT1.1058.6814,3.88062573346772
ONT1.1058.6815,13.946616791682
ONT1.1058.6829,6.58770811066027
ONT1.1058.6881,3.3419072942053
ONT1.1058.6919,8.19355798086234
ONT1.1058.6920,4.20159264113131
ONT1.1058.6922,10.672964899351
ONT1.1058.6983,12.5780917093402
ONT1.1058.6984,109.945439334373
ONT1.1058.6985,36.2758914650974
ONT1.1058.6986,8.48507326092959
ONT1.1058.6987,24.8023540485645
ONT1.1058.6988,19.1502837724738
ONT1.1058.6989,14.0899030192575
ONT1.1058.70,7.84102244426937
ONT1.1058.7003,10.2683420440698
ONT1.1058.7004,17.6327595547076
ONT1.1058.7123,2.07379176642765
ONT1.1058.7132,2.76019598051517
ONT1.1058.7148,2.73518575575553
ONT1.1058.8,29.6494284517712
ONT1.1058.812,0.915620231072865
ONT1.1058.817,0.915620231072865
ONT1.1058.8337,3476.50672714573
ONT1.1058.8339,36.5407419129635
ONT1.1058.8340,2173.29627701987
ONT1.1058.8344,61.8147545287068
ONT1.1058.8345,60.6429537238624
ONT1.1058.8347,40.9906591715833
ONT1.1058.8348,29.1124419503626
ONT1.1058.8349,59.1623233974334
ONT1.1058.8350,80.0947338492202
ONT1.1058.8355,36.7380344379557
ONT1.1058.8360,37.98464128851
ONT1.1058.8366,44.6866370433138
ONT1.1058.8371,28.2907532562777
ONT1.1058.8372,8.95493353857082
ONT1.1058.8377,14.0774582758449
ONT1.1058.8394,10.2463380138376
ONT1.1058.8399,17.8584322299839
ONT1.1058.8476,48.9887630043505
ONT1.1058.8527,14.6782423064312
ONT1.1058.9,16.773515285947
ONT1.1058.905,4.21171829168265
ONT1.1058.9209,6.5685915968095
ONT1.1058.974,1.63176607227723
ONT1.1063.5864,5430.93584185516
ONT1.1063.5865,107.219669870701
ONT1.1063.5871,721.772568593715
ONT1.1063.5873,146.520516150062
ONT1.1063.5874,76.2621307759495
ONT1.1063.5878,464.038939306341
ONT1.1063.5880,64.7607262431738
ONT1.1063.5885,87.7935928819394
ONT1.1063.5893,140.265187640943
ONT1.1063.5896,94.0875178139856
ONT1.1063.5908,76.2101208576942
ONT1.1063.6010,554.393269009747
ONT1.1063.6057,91.8222418793876
ONT1.1063.7290,733.717596542976
ONT1.1063.7292,130.976009838478
ONT1.1063.7316,51.741376946343
ONT1.1063.7583,82.9109896206621
ONT1.1063.7785,89.7317771539795
ONT1.1063.7834,79.4474307089189
ONT1.1063.7917,73.6143949869903
ONT1.1063.7986,130.560815625346
ONT1.1063.8696,968.134622911974
ONT1.1063.8698,61.4429618193926
ONT1.1063.8699,36.4857288955789
ONT1.1063.8701,21.6818512626063
ONT1.1063.8706,6.47769053359133
ONT1.1063.8852,7.31918160018796
ONT1.1063.8992,36.267095712586
ONT1.1063.9002,9.17768674308239
ONT1.1063.9006,18.3857809780279
ONT1.1063.9026,2.19555548502308
ONT1.1063.9035,8.46952327526478
ONT1.1063.9047,14.312293601605
ONT1.1063.9068,6.08172213084385
ONT1.1063.9102,9.67326069163509
ONT1.1063.9110,12.8130559936474
ONT1.1063.9114,8.01995106240495
ONT1.1063.9136,11.9741522267144
ONT1.1063.9137,4.97178549568999
ONT1.1063.9139,8.11889825186146
ONT1.1063.9143,7.58978776749067
ONT1.1063.9399,2.42211672766889
ONT1.1063.9403,44.425435530955
ONT1.1063.9404,1.44111878705962
ONT1.1063.9405,2.74904516985664
ONT1.1063.9406,1.66425299687311
ONT1.1063.9412,1.4944981515039
ONT1.1063.9416,3.66816429418046
ONT1.1063.9441,1.11796185689001
ONT1.1063.9452,1.91819403737576
ONT1.1063.9460,1.5132855787017
ONT1.1063.9469,1.12182153707983
ONT1.1063.9470,0.674257678900071
ONT1.1063.9476,3.17623994897944
ONT1.1078.100,122.546361557411
