associated_gene,totalN,novelN
DDX41,236,191
DDX42,234,142
DDX43,6,3
DDX46,461,371
DDX47,174,92
DDX49,215,152
DDX5,2537,2208
DDX50,220,140
DDX51,77,4
DDX52,139,60
DDX54,74,40
DDX55,211,166
DDX56,201,119
DDX59,89,51
DDX6,279,157
DDX60,22,5
DDX60L,23,8
DEAF1,198,150
DECR1,210,144
DECR2,67,42
DEDD,166,100
DEDD2,59,43
DEF6,20,4
DEF8,203,100
DEFA1,6,1
DEFA1B,5,1
DEFA3,3,0
DEFA4,1,0
DEFB1,3,0
DEFB112,1,1
DEFB126,1,1
DEFB131B,1,1
DEFB135,1,1
DEGS1,109,70
DEGS2,22,10
DEK,251,108
DELE1,279,161
DENND10,197,142
DENND11,16,3
DENND1A,68,32
DENND1B,63,32
DENND1C,20,16
DENND2A,90,42
DENND2B,72,31
DENND2C,18,9
DENND2D,19,11
DENND3,85,36
DENND4A,112,22
DENND4B,72,33
DENND4C,49,6
DENND5A,219,71
DENND5B,64,10
DENND6A,55,40
DENND6B,198,159
DENR,243,198
DEPDC1,46,18
DEPDC1B,100,60
DEPDC4,39,18
DEPDC5,140,35
DEPDC7,33,12
DEPP1,8,2
DEPTOR,80,32
DERA,125,58
DERL1,159,108
DERL2,195,145
DERL3,34,18
DERPC,15,13
DES,15,3
DESI1,256,240
DESI2,51,23
DET1,55,41
DEUP1,4,1
DEXI,16,4
DFFA,163,119
DFFB,53,27
DGAT1,84,38
DGAT2,53,14
DGCR2,128,91
DGCR6,41,18
DGCR6L,140,104
DGCR8,98,27
DGKA,111,71
DGKB,133,63
DGKD,118,23
DGKE,26,5
DGKG,60,17
DGKH,12,2
DGKI,41,20
DGKK,1,0
DGKQ,27,7
DGKZ,358,245
DGLUCY,249,172
DGUOK,204,142
DHCR24,120,77
DHCR7,138,98
DHDDS,182,92
DHDH,35,11
DHFR,103,68
DHFR2,27,6
DHODH,119,76
DHPS,286,252
DHRS1,95,59
DHRS11,46,26
DHRS12,109,81
DHRS13,23,11
DHRS2,8,8
DHRS3,40,30
DHRS4,58,24
DHRS4L2,75,53
DHRS7,117,66
DHRS7B,89,48
DHRS7C,9,2
DHRS9,22,6
DHRSX,83,46
DHTKD1,88,42
DHX15,286,178
DHX16,37,7
DHX29,200,92
DHX30,381,280
DHX32,77,25
DHX33,8,1
DHX34,83,19
DHX35,129,65
DHX36,240,119
DHX37,55,16
DHX38,200,98
DHX40,213,112
DHX57,154,49
DHX58,68,39
DHX8,157,55
DHX9,397,259
DIABLO,169,103
DIAPH1,93,43
DIAPH2,95,32
DIAPH3,111,60
DICER1,154,32
DIDO1,121,52
DIMT1,156,89
DIO2,42,7
DIO3,19,0
DIP2A,162,48
DIP2B,99,13
DIP2C,112,14
DIPK1A,93,37
DIPK1B,45,15
DIPK1C,31,11
DIPK2A,51,10
DIPK2B,27,5
DIRAS1,24,13
DIRAS2,92,70
DIRAS3,19,4
DIS3,174,101
DIS3L,130,64
DIS3L2,120,51
DISC1,21,8
DISP1,73,37
DISP2,42,31
DISP3,162,104
DIXDC1,147,49
DKC1,206,121
DKK1,24,3
DKK2,10,1
DKK3,439,350
DKKL1,21,13
DLAT,261,77
DLC1,101,13
DLD,355,248
DLEC1,9,3
DLEU7,61,15
DLG1,225,62
DLG2,282,107
DLG3,267,61
DLG4,536,380
DLG5,60,51
DLGAP1,350,180
DLGAP2,71,34
DLGAP3,28,9
DLGAP4,379,234
DLGAP5,163,83
DLK1,3,0
DLK2,59,35
DLL1,42,25
DLL3,39,17
DLL4,32,8
DLST,108,63
DLX1,88,34
DLX2,29,19
DLX3,1,0
DLX5,41,16
DLX6,41,21
DMAC1,117,102
DMAC2,97,59
DMAC2L,205,123
DMAP1,278,221
DMBT1,2,0
DMBX1,1,0
DMC1,36,26
DMD,724,295
DMGDH,39,24
DMKN,73,38
DMP1,1,1
DMPK,119,92
DMRT2,15,5
DMRT3,5,2
DMRTA1,15,1
DMRTA2,2,2
DMRTB1,1,0
DMRTC1,28,21
DMRTC1B,33,16
DMTF1,339,188
DMTN,948,924
DMWD,75,15
DMXL1,195,58
DMXL2,209,51
DNA2,95,59
DNAAF1,44,15
DNAAF2,47,24
DNAAF3,13,7
DNAAF4,106,59
DNAAF5,68,19
DNAAF6,6,3
DNAH1,76,42
DNAH10,26,5
DNAH11,11,2
DNAH12,11,4
DNAH14,64,23
DNAH17,24,7
DNAH2,8,0
DNAH5,42,7
DNAH6,56,12
DNAH7,59,10
DNAH8,7,5
DNAH9,21,1
DNAI1,34,26
DNAI2,8,3
DNAI3,5,3
DNAI4,58,24
DNAJA1,648,572
DNAJA2,447,343
DNAJA3,107,59
DNAJA4,125,34
DNAJB1,171,111
DNAJB11,117,50
DNAJB12,167,97
DNAJB13,5,2
DNAJB14,116,30
DNAJB2,93,56
DNAJB4,163,77
DNAJB5,152,83
DNAJB6,494,396
DNAJB7,15,2
DNAJB9,53,28
DNAJC1,132,61
DNAJC10,337,79
DNAJC11,213,132
DNAJC12,80,56
DNAJC13,177,54
DNAJC14,49,23
DNAJC15,196,130
DNAJC16,41,3
DNAJC17,120,87
DNAJC18,138,81
DNAJC19,262,162
DNAJC2,274,118
DNAJC21,180,14
DNAJC22,5,3
DNAJC24,212,175
DNAJC25,60,8
DNAJC25-GNG10,8,6
DNAJC27,52,15
DNAJC28,54,41
DNAJC3,95,51
DNAJC30,66,26
DNAJC4,105,61
DNAJC5,68,10
DNAJC5B,7,7
DNAJC5G,2,0
DNAJC6,204,81
DNAJC7,425,293
DNAJC8,559,473
DNAJC9,125,84
DNAL1,140,98
DNAL4,52,40
DNALI1,118,46
DNASE1,42,27
DNASE1L1,58,28
DNASE1L2,19,19
DNASE1L3,5,2
DNASE2,42,16
DND1,6,0
DNER,139,121
DNHD1,57,24
DNLZ,11,7
DNM1,265,198
DNM1L,504,229
DNM2,98,38
DNM3,595,479
DNMBP,35,14
DNMT1,238,110
DNMT3A,93,44
DNMT3B,52,12
DNPEP,112,38
DNPH1,51,46
DNTTIP1,97,63
DNTTIP2,191,81
DOC2A,254,198
DOC2B,4,1
DOCK1,143,45
DOCK10,83,33
DOCK11,86,41
DOCK2,17,0
DOCK3,182,67
DOCK4,184,47
DOCK5,34,10
DOCK6,32,25
DOCK7,258,106
DOCK8,23,4
DOCK9,213,131
DOHH,30,22
DOK1,56,26
DOK2,1,0
DOK3,4,1
DOK4,91,47
DOK5,331,273
DOK6,72,47
DOK7,1,0
DOLK,12,0
DOLPP1,55,35
DONSON,151,108
DOP1A,228,56
DOP1B,224,72
DOT1L,20,2
DPAGT1,158,77
DPCD,133,98
DPEP1,21,10
DPEP2,16,14
DPEP3,3,1
DPF1,105,46
DPF2,235,157
DPF3,56,18
DPH1,130,57
DPH2,96,42
DPH3,61,20
DPH5,230,172
DPH6,114,90
DPH7,214,192
DPM1,298,223
DPM2,78,60
DPM3,8,6
DPP10,314,115
DPP3,150,97
DPP4,63,34
DPP6,167,61
DPP7,173,150
DPP8,56,12
DPP9,63,29
DPPA4,10,3
DPT,5,1
DPY19L1,67,28
DPY19L2,174,86
DPY19L3,75,23
DPY19L4,93,60
DPY30,301,241
DPYD,197,106
DPYS,29,21
DPYSL2,619,464
DPYSL3,343,211
DPYSL4,165,109
DPYSL5,180,82
DQX1,3,2
DR1,93,39
DRAM1,5,1
DRAM2,296,210
DRAP1,155,119
DRAXIN,204,177
DRC1,45,14
DRC3,25,19
DRC7,7,4
DRD1,13,8
DRD2,23,2
DRD3,13,4
DRD4,1,0
DRD5,30,1
DRG1,257,205
DRG2,196,150
DRGX,12,7
DRICH1,2,1
DROSHA,295,137
DRP2,86,11
DSC1,1,0
DSC2,14,2
DSC3,1,0
DSCAM,76,18
DSCAML1,27,4
DSCC1,101,52
DSE,34,13
DSEL,23,7
DSG2,17,4
DSN1,129,73
DSP,17,1
DSPP,1,1
DST,1474,503
DSTN,448,399
DSTYK,46,9
DTD1,122,95
DTD2,182,135
DTHD1,1,1
DTL,112,33
DTNA,396,250
DTNB,345,284
DTNBP1,153,137
DTWD1,323,243
DTWD2,25,8
DTX1,22,4
DTX2,36,14
DTX3,193,117
DTX3L,9,1
DTX4,70,19
DTYMK,133,83
DUOX1,12,12
DUS1L,72,47
DUS2,93,62
DUS3L,69,48
DUS4L,152,78
DUS4L-BCAP29,60,24
DUSP1,20,11
DUSP10,55,23
DUSP11,127,85
DUSP12,140,109
DUSP13,6,0
DUSP14,22,12
DUSP15,30,12
DUSP16,52,16
DUSP18,45,18
DUSP19,65,49
DUSP2,16,8
DUSP22,82,14
DUSP23,21,14
DUSP26,63,51
DUSP28,51,18
DUSP3,60,37
DUSP4,33,13
DUSP5,15,3
DUSP6,85,44
DUSP7,13,2
DUSP8,2,2
DUSP9,6,0
DUT,325,219
DVL1,54,23
DVL2,83,64
DVL3,92,46
DXO,89,50
DYDC1,2,1
DYDC2,52,21
DYM,190,110
DYNC1H1,937,641
DYNC1I1,362,246
DYNC1I2,677,431
DYNC1LI1,515,417
DYNC1LI2,280,175
DYNC2H1,195,49
DYNC2I1,256,191
DYNC2I2,101,81
DYNC2LI1,217,154
DYNLL1,229,192
DYNLL2,145,120
DYNLRB1,145,101
DYNLRB2,34,22
DYNLT1,183,159
DYNLT2,1,1
DYNLT2B,154,129
DYNLT3,132,96
DYNLT5,75,23
DYRK1A,35,6
DYRK1B,48,17
DYRK2,22,0
DYRK3,29,17
DYRK4,78,26
DYSF,86,35
DZANK1,115,69
DZIP1,272,66
DZIP1L,31,17
DZIP3,468,214
E2F1,22,10
E2F2,19,13
E2F3,47,38
E2F4,76,49
E2F5,48,32
E2F6,88,73
E2F7,24,2
E2F8,42,8
E4F1,126,87
EAF1,44,10
EAF2,49,28
EAPP,111,77
EARS2,131,49
EBAG9,163,72
EBF1,10,0
EBF2,12,2
EBF3,1,0
EBF4,43,4
EBI3,10,2
EBLN2,6,0
EBNA1BP2,206,154
EBP,137,103
EBPL,43,18
ECD,162,106
ECE1,60,11
ECE2,69,19
ECEL1,22,1
ECH1,261,229
ECHDC1,213,170
ECHDC2,156,89
ECHDC3,20,7
ECHS1,200,138
ECI1,26,8
ECI2,133,89
ECM1,78,33
ECM2,17,0
ECPAS,230,86
ECRG4,27,13
ECSCR,46,36
ECSIT,143,117
ECT2,116,57
ECT2L,2,0
EDA,6,2
EDA2R,17,12
EDARADD,9,1
EDC3,118,51
EDC4,179,97
EDDM13,4,3
EDEM1,16,5
EDEM2,94,73
EDEM3,51,16
EDF1,157,136
EDIL3,92,26
EDN1,36,18
EDN2,3,1
EDN3,26,5
EDNRA,22,1
EDNRB,90,7
EDRF1,138,29
EEA1,189,38
EED,188,93
EEF1A1,3210,3053
EEF1A2,236,180
EEF1AKMT1,95,74
EEF1AKMT2,258,163
EEF1AKMT3,13,4
EEF1AKMT4,11,2
EEF1B2,444,393
EEF1D,297,232
EEF1E1,125,80
EEF1E1-BLOC1S5,4,0
EEF1G,1083,1024
EEF2,1822,1716
EEF2K,72,51
EEF2KMT,89,46
EEFSEC,89,45
EEPD1,43,5
EFCAB10,16,6
EFCAB11,101,71
EFCAB12,18,9
EFCAB13,22,13
EFCAB14,105,11
EFCAB2,232,162
EFCAB3,1,1
EFCAB5,53,31
EFCAB6,38,28
EFCAB7,226,140
EFCAB8,1,0
EFCC1,11,1
EFEMP1,150,92
EFEMP2,126,66
EFHB,40,36
EFHC1,161,64
EFHC2,45,12
EFHD1,50,21
EFHD2,42,11
EFL1,130,85
EFNA1,56,23
EFNA2,2,0
EFNA3,56,34
EFNA4,15,8
EFNA5,12,3
EFNB1,45,18
EFNB2,59,33
EFNB3,61,42
EFR3A,216,72
EFR3B,52,12
EFS,44,20
EFTUD2,219,119
EGF,5,4
EGFL6,19,4
EGFL7,136,94
EGFL8,28,7
EGFLAM,15,0
EGFR,14,1
EGLN1,58,5
EGLN2,142,75
EGLN3,133,94
EGR1,21,8
EGR2,12,3
EGR3,13,2
EGR4,3,2
EHBP1,375,116
EHBP1L1,18,4
EHD1,53,18
EHD2,32,7
EHD3,72,29
EHD4,24,2
EHHADH,14,8
EHMT1,142,48
EHMT2,71,17
EI24,169,123
EID1,385,384
EID2,31,5
EID2B,35,34
EID3,25,1
EIF1,369,320
EIF1AD,99,53
EIF1AX,170,92
EIF1AY,65,32
EIF1B,145,114
EIF2A,370,221
EIF2AK1,277,180
EIF2AK2,221,85
EIF2AK3,68,18
EIF2AK4,156,53
EIF2B1,199,163
EIF2B2,112,75
EIF2B3,231,140
EIF2B4,286,230
EIF2B5,241,119
EIF2D,176,125
EIF2S1,151,76
EIF2S2,367,300
EIF2S3,918,786
EIF3A,389,153
EIF3B,187,147
EIF3C,650,533
EIF3CL,383,265
EIF3D,313,243
EIF3E,570,430
EIF3F,218,127
EIF3G,312,265
EIF3H,347,292
EIF3I,312,198
EIF3J,208,101
EIF3K,297,232
EIF3L,759,672
EIF3M,333,226
EIF4A1,669,582
EIF4A2,1402,1170
EIF4A3,130,95
EIF4B,658,467
EIF4E,361,215
EIF4E1B,55,40
EIF4E2,207,110
EIF4E3,96,52
EIF4EBP1,62,51
EIF4EBP2,91,42
EIF4EBP3,15,4
EIF4ENIF1,142,80
EIF4G1,256,92
EIF4G2,1459,1255
EIF4G3,328,127
EIF4H,415,357
EIF5,471,302
EIF5A,285,246
EIF5A2,65,8
EIF5AL1,11,0
EIF5B,378,216
EIF6,124,100
EIPR1,169,145
ELAC1,50,23
ELAC2,157,91
ELANE,3,0
ELAPOR1,178,85
ELAPOR2,109,26
ELAVL1,51,18
ELAVL2,130,100
ELAVL3,136,107
ELAVL4,351,217
ELF1,28,11
ELF2,140,57
ELF4,5,0
ELF5,1,0
ELFN1,3,3
ELFN2,32,27
ELK1,44,27
ELK3,24,6
ELK4,11,4
ELL,24,6
ELL2,88,23
ELL3,35,21
ELMO1,1359,1179
ELMO2,261,223
ELMO3,21,11
ELMOD1,310,213
ELMOD2,103,59
ELMOD3,181,111
ELN,71,32
ELOA,127,41
ELOB,151,129
ELOC,365,273
ELOF1,123,100
ELOVL1,77,49
ELOVL2,79,44
ELOVL3,8,3
ELOVL4,98,49
ELOVL5,177,130
ELOVL6,79,23
ELOVL7,46,37
ELP1,239,74
ELP2,411,196
ELP3,192,106
ELP4,424,330
ELP5,209,135
ELP6,184,133
EMB,12,0
EMC1,228,146
EMC10,84,47
EMC2,266,183
EMC3,127,69
EMC4,209,178
EMC6,20,8
EMC7,101,72
EMC8,58,21
EMC9,86,59
EMCN,26,10
EMD,110,75
EME1,56,27
EME2,3,3
EMG1,92,44
EMID1,107,66
EMILIN1,3,3
EMILIN2,7,2
EMILIN3,4,0
EML1,348,144
EML2,80,51
EML3,41,12
EML4,92,25
EML5,48,7
EML6,70,17
EMP1,17,4
EMP2,58,49
EMP3,56,29
EMSY,68,29
EMX1,283,206
EMX2,99,63
EN1,3,1
EN2,1,0
ENAH,225,61
ENC1,148,97
ENDOD1,15,1
ENDOG,38,29
ENDOU,17,6
ENDOV,253,197
ENG,33,14
ENGASE,56,25
ENHO,68,66
ENKD1,61,39
ENKUR,109,44
ENO1,625,555
ENO2,984,899
ENO3,48,34
ENO4,27,15
ENOPH1,225,178
ENOSF1,137,97
ENOX1,433,316
ENOX2,72,33
ENPEP,14,2
ENPP1,2,2
ENPP2,180,110
ENPP3,3,0
ENPP4,60,6
ENPP5,66,27
ENPP6,28,7
ENSA,342,262
ENTPD1,65,50
ENTPD2,10,4
ENTPD3,83,47
ENTPD4,131,45
ENTPD5,45,36
ENTPD6,403,308
ENTPD7,21,5
ENTR1,59,11
ENY2,185,91
EOGT,17,6
EOLA1,135,93
EOLA2,143,117
EOMES,143,81
EP300,475,227
EP400,143,44
EPAS1,49,10
EPB41,83,26
EPB41L1,308,197
EPB41L2,288,127
EPB41L3,620,460
EPB41L4A,73,20
EPB41L4B,51,25
EPB41L5,77,27
EPB42,9,2
EPC1,92,24
EPC2,147,24
EPCAM,97,52
EPDR1,70,29
EPG5,44,12
EPHA1,2,0
EPHA10,44,22
EPHA2,24,4
EPHA3,118,38
EPHA4,200,40
EPHA5,261,68
EPHA6,25,8
EPHA7,310,96
EPHA8,10,1
EPHB1,120,39
EPHB2,125,35
EPHB3,49,14
EPHB4,30,1
EPHB6,162,75
EPHX1,62,29
EPHX2,98,54
EPHX3,11,2
EPHX4,95,57
EPM2A,41,8
EPM2AIP1,20,13
EPN1,96,54
EPN2,474,322
EPN3,1,1
EPO,1,0
EPOP,16,0
EPOR,47,9
EPRS1,292,165
EPS15,280,159
EPS15L1,333,222
EPS8,125,63
EPS8L1,16,2
EPS8L2,32,9
EPSTI1,19,5
EQTN,1,0
ERAL1,220,185
ERAP1,91,48
ERAP2,7,4
ERBB2,80,36
ERBB3,39,9
ERBB4,85,34
ERBIN,214,26
ERC1,249,107
ERC2,315,190
ERCC1,435,318
ERCC2,102,30
ERCC3,218,161
ERCC4,60,9
ERCC5,274,162
ERCC6,93,22
ERCC6L,5,0
ERCC6L2,135,16
ERCC8,151,70
ERF,5,3
ERFE,20,9
ERG,22,7
ERG28,123,101
ERGIC1,110,65
ERGIC2,280,172
ERGIC3,418,366
ERH,203,166
ERI1,76,37
ERI2,80,56
ERI3,307,283
ERICH1,91,53
ERICH2,9,4
ERICH3,140,26
ERICH4,1,0
ERICH5,23,0
ERICH6B,4,2
ERLEC1,270,215
ERLIN1,112,72
ERLIN2,62,20
ERMAP,44,37
ERMARD,151,96
ERMN,138,43
ERMP1,33,10
ERN1,4,1
ERN2,1,1
ERO1A,100,54
ERO1B,55,41
ERP29,137,98
ERP44,193,124
ERRFI1,70,51
ERV3-1,28,9
ERVH48-1,2,1
ERVK3-1,208,128
ERVMER34-1,8,0
ESAM,58,38
ESCO1,121,43
ESCO2,78,27
ESD,313,258
ESF1,164,48
ESM1,3,1
ESPL1,69,24
ESPN,1,1
ESR2,3,2
ESRP1,7,0
ESRRA,31,5
ESRRG,39,13
ESS2,82,54
ESYT1,157,67
ESYT2,85,12
ESYT3,25,11
ETAA1,87,33
ETDB,1,0
ETF1,153,74
ETFA,273,203
ETFB,101,78
ETFBKMT,40,12
ETFDH,172,59
ETFRF1,80,33
ETHE1,55,45
ETNK1,109,34
ETNK2,37,17
ETNPPL,232,185
ETS1,14,4
ETS2,110,17
ETV1,106,85
ETV2,18,4
ETV3,13,2
ETV3L,3,1
ETV4,33,11
ETV5,76,47
ETV6,31,11
ETV7,5,2
EVA1A,10,5
EVA1B,9,3
EVA1C,79,40
EVC,9,9
EVC2,23,3
EVI2A,25,10
EVI2B,7,0
EVI5,77,38
EVI5L,67,28
EVL,221,110
EVPL,1,0
EVPLL,5,4
EWSR1,1075,868
EXD1,6,5
EXD2,153,71
EXD3,132,79
EXO1,89,40
EXO5,58,19
EXOC1,281,145
EXOC1L,7,1
EXOC2,200,112
EXOC3,215,129
EXOC3L1,10,2
EXOC3L4,4,2
EXOC4,212,108
EXOC5,228,138
EXOC6,236,140
EXOC6B,81,19
EXOC7,413,235
EXOC8,89,3
EXOG,114,69
EXOSC1,147,103
EXOSC10,344,247
EXOSC2,169,82
EXOSC3,125,67
EXOSC4,39,31
EXOSC5,53,43
EXOSC6,182,37
EXOSC7,162,98
EXOSC8,564,449
EXOSC9,210,119
EXPH5,7,3
EXT1,27,4
EXT2,156,53
EXTL1,100,30
EXTL2,141,94
EXTL3,100,31
EYA1,29,23
EYA2,49,41
EYA3,56,29
EYA4,7,0
EYS,55,34
EZH1,193,112
EZH2,366,246
EZR,561,440
F10,6,3
F11R,36,34
F12,38,28
F13A1,17,5
F2,2,1
F2R,23,7
F2RL1,6,0
F2RL2,4,2
F2RL3,1,0
F3,108,68
F5,7,2
F7,12,8
F8,57,40
F8A1,30,8
F8A2,14,0
F8A3,11,1
FA2H,9,0
FAAH,154,91
FAAH2,21,9
FAAP100,69,40
FAAP20,145,99
FAAP24,16,6
FABP1,10,8
FABP12,2,2
FABP3,171,135
FABP4,2,0
FABP5,183,126
FABP6,37,22
FABP7,306,262
FADD,16,8
FADS1,216,148
FADS2,238,162
FADS3,105,72
FADS6,22,13
FAF1,127,50
FAF2,121,68
FAH,72,36
FAHD1,63,51
FAHD2A,236,202
FAHD2B,152,116
FAIM,105,54
FAIM2,600,533
FAM104A,73,32
FAM104B,108,56
FAM107A,584,505
FAM107B,66,28
FAM110A,11,4
FAM110B,114,78
FAM110C,18,5
FAM110D,6,6
FAM111A,62,38
FAM111B,24,5
FAM114A1,62,21
FAM114A2,111,58
FAM117A,16,5
FAM117B,42,15
FAM118A,87,61
FAM118B,199,115
FAM120A,299,104
FAM120AOS,164,106
FAM120B,187,66
FAM120C,13,6
FAM124A,45,17
FAM124B,28,11
FAM131A,179,109
FAM131B,113,75
FAM131C,12,2
FAM133A,22,15
FAM133B,305,229
FAM135A,137,26
FAM135B,35,11
FAM136A,49,22
FAM13A,289,70
FAM13B,187,59
FAM13C,278,114
FAM149A,238,145
FAM149B1,95,31
FAM151B,74,52
FAM153A,17,11
FAM156A,108,66
FAM156B,118,53
FAM161A,142,49
FAM161B,109,35
FAM162A,96,61
FAM162B,39,16
FAM163A,37,28
FAM163B,132,128
FAM166A,1,1
FAM166B,8,4
FAM166C,22,6
FAM167A,16,4
FAM167B,2,0
FAM168A,52,22
FAM168B,87,43
FAM169A,75,23
FAM171A1,66,41
FAM171A2,8,4
FAM171B,105,33
FAM172A,156,99
FAM174A,43,25
FAM174B,32,18
FAM174C,32,8
FAM177A1,263,190
FAM177B,2,1
FAM178B,36,30
FAM180B,4,0
FAM181A,14,10
FAM181B,56,0
FAM184A,188,49
FAM184B,80,41
FAM185A,129,92
FAM186B,1,0
FAM187A,16,8
FAM187B,1,0
FAM193A,99,71
FAM193B,108,57
FAM199X,35,8
FAM200A,48,23
FAM200B,215,78
FAM204A,331,208
FAM205C,1,1
FAM209A,3,3
FAM209B,1,0
FAM20A,8,0
FAM20B,153,121
FAM20C,37,9
FAM210A,61,17
FAM210B,34,14
FAM216A,213,181
FAM216B,7,1
FAM217A,1,1
FAM217B,49,17
FAM219A,31,19
FAM219B,183,115
FAM220A,26,21
FAM221A,179,96
FAM221B,3,3
FAM222A,2,1
FAM222B,41,13
FAM227A,3,0
FAM227B,112,72
FAM228A,4,4
FAM228B,441,370
FAM229A,16,0
FAM229B,83,54
FAM234A,236,132
FAM234B,83,30
FAM237A,10,4
FAM240C,3,1
FAM241A,28,8
FAM241B,72,54
FAM246A,7,7
FAM246B,4,4
FAM246C,18,1
FAM24B,46,23
FAM32A,173,151
FAM3A,140,99
FAM3B,4,2
FAM3C,276,179
FAM3D,1,1
FAM43A,36,1
FAM43B,18,0
FAM47A,3,0
FAM47E,88,61
FAM47E-STBD1,28,17
FAM50A,127,92
FAM50B,12,6
FAM53A,5,3
FAM53B,12,6
FAM53C,65,30
FAM72A,44,22
FAM72B,44,25
FAM72C,31,17
FAM72D,38,21
FAM76A,69,22
FAM76B,160,87
FAM78A,13,0
FAM78B,14,2
FAM81A,269,135
FAM81B,15,13
FAM83B,1,1
FAM83D,28,15
FAM83G,1,0
FAM83H,1,1
FAM86B1,38,35
FAM86B2,5,5
FAM89A,12,7
FAM89B,19,5
FAM8A1,50,4
FAM90A1,10,4
FAM91A1,64,15
FAM98A,103,76
FAM98B,72,46
FAM98C,112,77
FAM9C,2,0
FAN1,163,23
FANCA,87,27
FANCB,38,14
FANCC,41,19
FANCD2,85,33
FANCD2OS,5,5
FANCE,48,27
FANCF,142,27
FANCG,147,117
FANCI,229,123
FANCL,294,213
FANCM,86,11
FANK1,70,43
FAP,39,21
FAR1,135,56
FAR2,133,60
FARP1,292,137
FARP2,94,22
FARS2,115,83
FARSA,280,240
FARSB,455,370
FAS,57,32
FASN,56,17
FASTK,250,192
FASTKD1,147,87
FASTKD2,178,53
FASTKD3,84,23
FASTKD5,12,6
FAT1,73,33
FAT3,89,11
FAT4,95,42
FATE1,5,1
FAU,310,285
FAXC,143,115
FAXDC2,74,39
FBF1,26,9
FBH1,164,78
FBL,190,161
FBLIM1,54,25
FBLL1,15,1
FBLN1,119,55
FBLN2,56,9
FBLN5,39,15
FBLN7,43,19
FBN1,39,23
FBN2,25,4
FBN3,36,9
FBP1,13,4
FBRS,19,3
FBRSL1,6,6
FBXL12,60,31
FBXL13,14,4
FBXL14,28,25
FBXL15,116,81
FBXL16,55,47
FBXL17,57,20
FBXL18,51,39
FBXL19,8,1
FBXL2,330,215
FBXL20,123,90
FBXL22,1,1
FBXL3,91,50
FBXL4,91,57
FBXL5,280,161
FBXL6,48,18
FBXL7,4,0
FBXL8,10,0
FBXO10,36,10
FBXO11,242,41
FBXO15,47,25
FBXO16,149,83
FBXO17,47,20
FBXO2,53,44
FBXO21,172,61
FBXO22,112,84
FBXO24,2,2
FBXO25,163,103
FBXO27,70,42
FBXO28,73,26
FBXO3,225,137
FBXO30,64,20
FBXO31,45,23
FBXO32,47,8
FBXO33,45,27
FBXO34,46,25
FBXO36,86,75
FBXO38,236,65
FBXO39,2,0
FBXO4,92,35
FBXO40,7,0
FBXO41,52,31
FBXO42,124,85
FBXO43,21,6
FBXO44,453,373
FBXO45,32,9
FBXO46,19,17
FBXO48,27,21
FBXO5,59,31
FBXO6,53,23
FBXO7,222,110
FBXO8,73,30
FBXO9,108,61
FBXW10,3,2
FBXW11,139,52
FBXW12,2,1
FBXW2,129,84
FBXW4,55,38
FBXW5,167,132
FBXW7,263,96
FBXW8,58,32
FBXW9,68,53
FCER1A,2,0
FCER1G,30,21
FCER2,4,1
FCF1,259,230
FCGBP,23,1
FCGR1A,39,17
FCGR2A,42,25
FCGR2C,1,1
FCGR3A,37,23
FCGR3B,1,0
FCGRT,141,83
FCHO1,152,106
FCHO2,111,35
FCHSD1,35,16
FCHSD2,163,36
FCMR,6,2
FCN1,1,0
FCN2,2,2
FCN3,5,1
FCRLA,1,0
FCRLB,21,4
FCSK,50,7
FDFT1,577,432
FDPS,505,435
FDX1,76,28
FDX2,70,42
FDXACB1,61,23
FDXR,39,19
FECH,101,32
FEM1A,138,9
FEM1B,34,3
FEM1C,44,10
FEN1,37,19
FER,125,78
FER1L5,6,4
FERD3L,7,0
FERMT1,4,0
FERMT2,145,73
FERMT3,24,7
FES,95,56
FETUB,1,1
FEZ1,555,450
FEZ2,164,109
FEZF1,6,6
FEZF2,111,90
FFAR3,1,0
FFAR4,29,8
FGD1,61,11
FGD2,2,0
FGD3,82,31
FGD4,90,14
FGD5,25,4
FGD6,30,1
FGF1,111,41
FGF10,14,3
FGF11,37,11
FGF12,139,44
FGF13,91,62
FGF14,29,4
FGF16,2,0
FGF17,54,6
FGF18,10,1
FGF19,4,0
FGF2,10,2
FGF20,10,5
FGF22,6,0
FGF3,2,0
FGF5,11,0
FGF7,4,0
FGF9,95,59
FGFBP1,1,0
FGFBP2,15,10
FGFBP3,39,28
FGFR1,142,80
FGFR1OP2,194,64
FGFR2,183,83
FGFR3,84,43
FGFR4,14,1
FGFRL1,32,15
FGGY,105,71
FGL1,18,5
FGL2,2,0
FGR,26,14
FH,194,147
FHAD1,16,8
FHDC1,12,5
FHIT,34,12
FHL1,226,147
FHL2,64,29
FHL3,27,14
FHL5,17,4
FHOD1,35,20
FHOD3,216,69
FIBCD1,3,1
FIBIN,56,1
FIBP,330,261
FICD,48,28
FIG4,248,111
FIGN,12,2
FIGNL1,97,44
FILIP1,55,13
FILIP1L,17,5
FIP1L1,703,497
FIS1,119,94
FITM1,1,0
FITM2,59,57
FIZ1,4,2
FJX1,10,9
FKBP10,53,20
FKBP11,42,15
FKBP14,54,5
FKBP15,129,56
FKBP1A,356,304
FKBP1B,116,83
FKBP1C,7,0
FKBP2,187,144
FKBP3,483,418
FKBP4,233,177
FKBP5,69,52
FKBP6,1,0
FKBP7,53,20
