seqnames	start	end	strand	transcript_id	type	source	score	phase	gene_id
chr17	818	1531	-	ENST00000570382.2	UTR	NA	NA	NA	NA
chr17	1532	1675	-	ENST00000570382.2	CDS	PacBio	NA	NA	ACTG1
chr17	1675	1769	-	ENST00000570382.2	intron	PacBio	NA	NA	ACTG1
chr17	1769	1950	-	ENST00000570382.2	CDS	PacBio	NA	NA	ACTG1
chr17	1950	2030	-	ENST00000570382.2	intron	PacBio	NA	NA	ACTG1
chr17	2030	2468	-	ENST00000570382.2	CDS	PacBio	NA	NA	ACTG1
chr17	2468	2745	-	ENST00000570382.2	intron	PacBio	NA	NA	ACTG1
chr17	2745	2984	-	ENST00000570382.2	CDS	PacBio	NA	NA	ACTG1
chr17	2984	3074	-	ENST00000570382.2	intron	PacBio	NA	NA	ACTG1
chr17	3074	3199	-	ENST00000570382.2	CDS	PacBio	NA	NA	ACTG1
chr17	3200	3202	-	ENST00000570382.2	UTR	NA	NA	NA	NA
chr17	3202	3457	-	ENST00000570382.2	intron	NA	NA	NA	NA
chr17	3457	3660	-	ENST00000570382.2	UTR	NA	NA	NA	NA
chr17	1532	1675	-	ENST00000571691.6	CDS	PacBio	NA	NA	ACTG1
chr17	1675	1769	-	ENST00000571691.6	intron	PacBio	NA	NA	ACTG1
chr17	1769	1950	-	ENST00000571691.6	CDS	PacBio	NA	NA	ACTG1
chr17	1950	2030	-	ENST00000571691.6	intron	PacBio	NA	NA	ACTG1
chr17	2030	2420	-	ENST00000571691.6	CDS	PacBio	NA	NA	ACTG1
chr17	2420	2769	-	ENST00000571691.6	intron	PacBio	NA	NA	ACTG1
chr17	2769	2984	-	ENST00000571691.6	CDS	PacBio	NA	NA	ACTG1
chr17	2984	3074	-	ENST00000571691.6	intron	PacBio	NA	NA	ACTG1
chr17	3074	3199	-	ENST00000571691.6	CDS	PacBio	NA	NA	ACTG1
chr17	3200	3202	-	ENST00000571691.6	UTR	NA	NA	NA	NA
chr17	3202	3576	-	ENST00000571691.6	intron	NA	NA	NA	NA
chr17	3576	3641	-	ENST00000571691.6	UTR	NA	NA	NA	NA
chr17	1532	1675	-	ENST00000571721.6	CDS	PacBio	NA	NA	ACTG1
chr17	1675	1769	-	ENST00000571721.6	intron	PacBio	NA	NA	ACTG1
chr17	1769	1950	-	ENST00000571721.6	CDS	PacBio	NA	NA	ACTG1
chr17	1950	2030	-	ENST00000571721.6	intron	PacBio	NA	NA	ACTG1
chr17	2030	2468	-	ENST00000571721.6	CDS	PacBio	NA	NA	ACTG1
chr17	2468	2745	-	ENST00000571721.6	intron	PacBio	NA	NA	ACTG1
chr17	2745	2984	-	ENST00000571721.6	CDS	PacBio	NA	NA	ACTG1
chr17	2984	3074	-	ENST00000571721.6	intron	PacBio	NA	NA	ACTG1
chr17	3074	3199	-	ENST00000571721.6	CDS	PacBio	NA	NA	ACTG1
chr17	3200	3202	-	ENST00000571721.6	UTR	NA	NA	NA	NA
chr17	3202	3306	-	ENST00000571721.6	intron	NA	NA	NA	NA
chr17	3306	3620	-	ENST00000571721.6	UTR	NA	NA	NA	NA
